Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022,E2F Mediated Regulation Of DNA Replication R-HSA-113510,2/22,0.984575967915625,0.999996464736758,0,0,0.3022956101490133,0.0046989494459088,CCNB1;CDK1
Reactome_2022,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,1/16,0.989648391987436,0.999996464736758,0,0,0.2015569424870814,0.002097312565455,CDK1
Reactome_2022,mTORC1-mediated Signaling R-HSA-166208,2/24,0.99059537612469,0.999996464736758,0,0,0.2747775784424999,0.0025964081230919,RPS6;EIF4EBP1
Reactome_2022,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,2/25,0.9926717906817664,0.999996464736758,0,0,0.2628132168309723,0.0019330418146897,CCNB1;CDK1
Reactome_2022,Infection With Mycobacterium Tuberculosis R-HSA-9635486,2/26,0.9942969847641062,0.999996464736758,0,0,0.2518458853537387,0.0014403921255497,PGK1;ENO1
Reactome_2022,Metabolism Of Cofactors R-HSA-8978934,1/19,0.995607284052668,0.999996464736758,0,0,0.1679305639442543,0.0007392962168268662,DHFR
Reactome_2022,Nuclear Events Stimulated By ALK Signaling In Cancer R-HSA-9725371,1/19,0.995607284052668,0.999996464736758,0,0,0.1679305639442543,0.0007392962168268662,RPS6
Reactome_2022,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,2/28,0.99655785496344,0.999996464736758,0,0,0.2324421450478639,0.0008014797733926462,RRM2;TYMS
Reactome_2022,Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136,1/20,0.9966988749565238,0.999996464736758,0,0,0.1590815169592998,0.0005260166814845837,UBE2C
Reactome_2022,Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407,1/20,0.9966988749565238,0.999996464736758,0,0,0.1590815169592998,0.0005260166814845837,UBE2C
Reactome_2022,Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430,1/21,0.9975190858764844,0.999996464736758,0,0,0.1511173746728407,0.0003753750585499097,UBE2C
Reactome_2022,Nucleotide Salvage R-HSA-8956321,1/23,0.998598423905276,0.999996464736758,0,0,0.1373611289053205,0.00019265711798388085,TK1
Reactome_2022,RAF-independent MAPK1/3 Activation R-HSA-112409,1/23,0.998598423905276,0.999996464736758,0,0,0.1373611289053205,0.00019265711798388085,CDK1
Reactome_2022,Gluconeogenesis R-HSA-70263,2/32,0.998760219127905,0.999996464736758,0,0,0.2013961605584642,0.00024984201427055144,PGK1;ENO1
